"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Mexico","MEX","Number of infant deaths","SH.DTH.IMRT","174346","171651","169657","168420","167813","167818","168519","169721","170992","171905","172327","171931","170456","167953","164626","160531","155471","149752","143593","137138","130530","124255","118376","113164","108599","104761","101240","97955","94675","91317","87922","84566","81150","77864","74623","71442","68195","64866","61538","58243","55061","51977","49052","46391","43939","41761","39884","38274","36914","35769","34789","33883","32987","32022","30919","29647","28195","26618",
"Marshall Islands","MHL","Number of infant deaths","SH.DTH.IMRT","56","54","53","52","52","52","52","53","53","54","55","56","57","58","60","62","65","68","71","73","76","78","80","82","83","84","84","84","83","82","81","79","77","75","74","72","72","71","71","70","70","69","68","66","65","63","61","59","57","55","52","50","47","44","41","38","35","33",
"Middle income","MIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6972005","6789088","6592638","6391380","6192411","5998374","5813702","5634781","5461034","5290376","5122759","4958054","4796739","4639916","4493739","4337421","4192352","4049322","3913387","3769601","3634134","3504121","3376878","3252433","3133400","3018107","2911701","2807271",
"Macedonia, FYR","MKD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","2007","1920","1831","1762","1701","1617","1469","1305","1176","1094","1016","912","794","679","581","506","450","411","380","353","332","316","305","293","274","253","234","221","210","209","212","221","234","251","267","281",
"Mali","MLI","Number of infant deaths","SH.DTH.IMRT","","","","","55623","55397","55276","55313","55461","55731","56062","56394","56627","56757","56687","56463","56150","55780","55420","55123","54873","54597","54238","53814","53390","53012","52691","52478","52395","52417","52574","52927","53501","54267","55199","56236","57290","58297","59155","59724","59940","59838","59444","58812","58033","57135","56376","55702","55131","54554","53953","53441","52862","52373","51935","51443","50871","50492",
"Malta","MLT","Number of infant deaths","SH.DTH.IMRT","280","260","241","222","204","186","169","154","142","132","124","119","115","112","109","106","103","99","95","90","86","81","77","73","70","67","64","62","59","57","55","52","50","48","45","43","41","38","36","33","31","29","27","26","24","24","23","23","23","23","23","23","23","24","24","24","24","24",
"Myanmar","MMR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","120408","120266","120113","119745","119371","118795","117945","117176","116462","115619","114795","113868","112821","111388","109593","107409","104908","102129","99113","96024","92868","89789","86909","84282","81931","79876","78126","76696","75534","74576","73742","72872","71780","70345","68521","66318","63756","60859","57831","59283","51772","49010","46425","44116","42064","40245","38661","37326","36005",
"Middle East & North Africa (excluding high income)","MNA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","402413","384564","366939","349534","332562","316214","300983","286933","274073","262542","252358","243457","235671","228978","223160","218152","214001","210549","207755","205698","204292","203315","202160","200027","196900","192840","188091","182804",
"Montenegro","MNE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","239","216","196","178","163","152","143","137","133","129","126","123","120","117","113","108","103","97","92","85","79","73","67","60","54","49","43","39","34","31","27","25","23",
"Mongolia","MNG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","7172","7069","6987","6935","6880","6811","6707","6547","6323","6038","5710","5348","4967","4582","4214","3863","3538","3237","2961","2705","2475","2271","2094","1949","1833","1741","1671","1616","1574","1534","1495","1449","1400","1351","1297","1240","1180","1117","1054",
"Northern Mariana Islands","MNP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","71058","72689","74372","75971","77616","79243","80783","82299","83810","85267","86748","88355","90040","91747","93560","95095","96149","96718","96717","96387","95917","95511","95359","95497","95997","96704","97495","98143","98476","98375","97563","96067","94090","92013","89720","87428","85134","82977","80906","78926","76947","74209","72452","70380","69718","67191","65093","63604","62706","61823","61004","60047",
"Mauritania","MRT","Number of infant deaths","SH.DTH.IMRT","5331","5336","5335","5334","5332","5324","5317","5308","5308","5331","5384","5465","5570","5685","5789","5871","5927","5958","5968","5971","5978","5982","5980","5968","5942","5898","5850","5808","5790","5795","5823","5882","5964","6070","6193","6336","6483","6639","6791","6942","7101","7255","7405","7545","7669","7765","7839","7896","7936","7979","8007","8010","8011","7993","7962","7923","7865","7812",
"Mauritius","MUS","Number of infant deaths","SH.DTH.IMRT","1954","1946","1888","1798","1726","1742","1848","1907","1774","1555","1416","1400","1415","1368","1262","1144","1039","947","868","798","727","659","592","535","496","484","499","511","500","466","436","416","409","408","414","422","426","419","397","364","329","300","277","263","255","251","248","241","228","214","202","194","187","183","179","173","164","155",
"Malawi","MWI","Number of infant deaths","SH.DTH.IMRT","","","","","","","44645","45628","46567","47409","48086","48581","48865","48995","48981","48864","48635","48295","47765","47270","46936","47032","47796","49377","51638","54233","56720","58724","59874","60112","59594","58519","57205","55872","54746","53904","53444","53045","52391","51289","49531","47217","44612","42077","39860","38241","37241","36639","35534","34804","33867","32222","30284","28922","27856","27008","26347","25754",
"Malaysia","MYS","Number of infant deaths","SH.DTH.IMRT","23021","22175","21251","20299","19347","18424","17575","16798","16146","15613","15168","14791","14433","14045","13614","13143","12665","12180","11711","11230","10765","10298","9851","9413","8999","8596","8230","7905","7623","7380","7150","6929","6721","6516","6326","6153","5974","5726","5364","4923","4471","4062","3734","3506","3360","3266","3205","3171","3162","3166","3168","3166","3175","3210","3276","3369","3480","3582",
"North America","NAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39571","38739","37458","36066","34923","33731","32535","31381","30632","30301","29737","29595","29518","29470","29759","29663","29484","28844","28450","27960","27069","26518","26004","25568","25227","24982","24814","24692",
"Namibia","NAM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","1938","2015","2099","2188","2277","2363","2447","2524","2592","2646","2687","2712","2721","2715","2699","2676","2651","2627","2605","2590","2581","2578","2578","2587","2601","2623","2653","2687","2723","2757","2787","2811","2826","2820","2804","2780","2724","2559","2461","2419","2432","2505","2473","2509","2586","2547","2526","2468","2337","2292",
"New Caledonia","NCL","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","30397","31471","32599","33734","34894","36019","37083","38048","38904","39660","40401","41240","42248","43498","44992","46715","48541","50382","52123","53653","54964","56063","56970","57653","58100","58278","58159","57845","57454","57219","57077","57047","56968","56735","56266","55551","54706","53800","52894","52090","51380","50767","50221","49754","49380","49136","48931","48749","48637","48613",
"Nigeria","NGA","Number of infant deaths","SH.DTH.IMRT","","","","","","418400","417731","417899","418109","418704","419181","419442","419415","418869","418060","417260","416535","416013","416371","418192","421430","425822","432256","440259","449574","460295","471564","482775","493680","504221","513978","523466","533085","542494","551574","559507","565720","570000","572313","573187","572617","570947","568287","564928","560267","554716","548359","541470","534525","527344","520087","512805","504876","497427","490035","481720","473758","465681",
"Nicaragua","NIC","Number of infant deaths","SH.DTH.IMRT","11798","11788","11782","11797","11816","11874","11965","12076","12204","12341","12473","12578","12648","12650","12590","12449","12221","11936","11610","11257","10879","10498","10116","9756","9401","9072","8763","8461","8155","7850","7525","7183","6829","6477","6125","5784","5453","5129","4980","4518","4245","3993","3766","3556","3369","3190","3024","2869","2717","2574","2447","2327","2212","2110","2016","1926","1845","1763",
"Netherlands","NLD","Number of infant deaths","SH.DTH.IMRT","4012","3944","3876","3803","3719","3622","3509","3377","3226","3054","2869","2678","2489","2309","2143","1993","1861","1746","1650","1573","1517","1479","1456","1442","1432","1422","1408","1388","1364","1337","1306","1269","1227","1184","1142","1106","1076","1054","1037","1024","1012","995","971","941","905","865","823","781","742","707","679","656","638","625","615","609","604","601",
"Norway","NOR","Number of infant deaths","SH.DTH.IMRT","1160","1137","1110","1091","1069","1041","1013","976","942","909","866","823","776","721","664","608","555","505","464","432","413","401","402","410","420","431","440","445","441","427","407","375","345","319","296","277","262","251","244","237","230","219","208","204","195","187","184","176","168","164","154","150","145","141","137","134","130","132",
"Nepal","NPL","Number of infant deaths","SH.DTH.IMRT","94086","93660","93050","92318","91467","90629","89800","89010","88309","87695","87291","86954","86721","86556","86445","86405","86256","85933","85524","84988","84231","83366","82372","81253","79945","78522","76997","75315","73438","71397","69222","67000","64737","62504","60280","58002","55665","53231","50748","48163","45521","42918","40360","37892","35517","33256","31084","29000","26991","25114","23343","21745","20284","19038","17981","17109","16408","15808",
"Nauru","NRU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","8","8","8","8","8","8","8","7","7","7","7","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","4","4",
"New Zealand","NZL","Number of infant deaths","SH.DTH.IMRT","1369","1330","1282","1232","1190","1156","1128","1106","1090","1073","1055","1029","996","963","920","869","816","765","722","684","651","629","612","603","592","589","582","571","560","542","523","501","476","453","433","412","395","378","361","349","339","331","325","325","322","324","326","326","331","328","323","316","309","302","291","285","275","271",
"OECD members","OED","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275245","262841","250339","237988","226190","214839","203788","193146","183380","174467","165808","157957","150782","144251","138612","133068","128071","123173","118821","114609","110285","106550","102906","99537","96205","93167","89855","86601",
"Oman","OMN","Number of infant deaths","SH.DTH.IMRT","","","","5962","5837","5722","5595","5469","5336","5212","5099","5008","4944","4891","4849","4814","4778","4728","4643","4531","4389","4220","4032","3816","3597","3370","3134","2899","2669","2447","2232","2024","1824","1638","1471","1322","1194","1076","970","877","797","730","677","638","614","601","600","610","628","651","677","702","725","745","761","775","785","790",
"Other small states","OSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36701","36604","36585","36620","36682","36734","36727","36639","36457","36175","35806","35402","34977","34553","34053","33323","32548","32060","31792","31267","30510","30130","29680","29171","28745","28198","27545","26987",
"Pakistan","PAK","Number of infant deaths","SH.DTH.IMRT","361000","357990","355355","352772","350747","349119","347905","347300","347265","347799","348778","350478","352611","355462","359092","363667","368996","375076","381686","388633","395966","403786","412026","420450","428672","436286","442681","447532","450729","451759","450813","448085","444163","439258","433630","427234","420086","411892","402833","393296","384043","375831","369443","364997","362538","361751","362439","363924","365700","366964","367526","366663","363811","359496","353950","346805","338852","330479",
"Panama","PAN","Number of infant deaths","SH.DTH.IMRT","3024","3020","3012","3000","2987","2974","2958","2941","2917","2877","2821","2750","2664","2573","2483","2403","2331","2270","2218","2168","2115","2063","2010","1955","1901","1851","1805","1759","1718","1681","1648","1621","1602","1591","1587","1586","1587","1585","1580","1570","1554","1532","1506","1480","1456","1433","1411","1389","1364","1339","1313","1285","1258","1229","1196","1160","1125","1090",
"Peru","PER","Number of infant deaths","SH.DTH.IMRT","62398","62478","62417","62155","61712","61105","60405","59647","58892","58130","57336","56550","55747","55013","54354","53790","53322","52899","52451","51893","51176","50298","49241","47973","46548","45006","43389","41765","40215","38723","37200","35547","33774","31875","29883","27845","25799","23810","21901","20104","18477","17015","15724","14578","13570","12678","11902","11226","10638","10124","9665","9248","8853","8471","8091","7724","7385","7073",
"Philippines","PHL","Number of infant deaths","SH.DTH.IMRT","75546","75115","74857","74822","74830","74852","74933","75066","75292","75658","76280","77205","78391","79876","81590","83421","85256","86965","88454","89682","90672","91497","92161","92631","92768","92359","91321","89574","87318","84601","81755","78972","76481","74376","72618","71162","69957","69046","68331","67714","67153","66490","65693","64655","63484","62246","60967","59791","58738","57781","56962","56331","55779","55338","54907","54483","53995","53300",
"Palau","PLW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","10","10","10","10","10","10","10","9","9","9","8","8","8","7","7","7","6","6","6","5","5","5","5","5","4","4","4","4","4","4",
"Papua New Guinea","PNG","Number of infant deaths","SH.DTH.IMRT","11074","10943","10811","10676","10553","10446","10341","10249","10161","10079","10006","9947","9897","9856","9820","9784","9757","9731","9705","9682","9658","9619","9576","9529","9481","9440","9415","9398","9397","9414","9444","9505","9599","9715","9853","10010","10172","10339","10488","10632","10752","10857","10935","11013","11076","11107","11086","11037","10935","10793","10634","10476","10306","10089","9909","9717","9515","9321",
"Poland","POL","Number of infant deaths","SH.DTH.IMRT","40235","35061","31213","27962","24983","22415","20473","19115","18248","17720","17313","16801","16143","15540","15174","15039","14927","14836","14705","14578","14378","14082","13740","13177","12586","11810","11112","10402","9760","9195","8656","8188","7727","7220","6631","5976","5271","4537","3899","3422","3097","2850","2679","2574","2496","2468","2415","2357","2287","2166","2062","1909","1815","1717","1618","1552","1487","1423",
"Pre-demographic dividend","PRE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2042717","2072816","2103648","2134675","2164585","2191601","2214288","2230806","2239690","2241335","2234698","2220724","2201110","2177952","2151717","2123520","2096329","2067563","2036839","2008333","1978141","1946205","1914604","1886335","1860144","1833012","1808226","1783767",
"Puerto Rico","PRI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","10912","11159","11708","12585","13879","15549","17535","19590","21546","23022","23741","23506","22451","20623","18316","15846","13628","11897","10676","9950","9625","9359","9047","8658","8125","7519","6903","6374","5924","5583","5280","5046",
"Portugal","PRT","Number of infant deaths","SH.DTH.IMRT","17688","17217","16499","15530","14487","13550","12791","12170","11647","11094","10361","9433","8503","7686","6956","6284","5656","5063","4540","4075","3682","3324","2993","2709","2439","2199","1990","1801","1620","1467","1321","1197","1085","980","898","828","777","737","706","666","626","584","532","487","441","403","372","350","335","320","305","291","276","269","262","256","250","244",
"Paraguay","PRY","Number of infant deaths","SH.DTH.IMRT","4738","4798","4863","4936","5013","5088","5154","5205","5236","5249","5253","5249","5248","5262","5294","5341","5403","5481","5556","5622","5676","5703","5704","5686","5647","5588","5511","5419","5317","5204","5086","4967","4846","4735","4632","4534","4440","4344","4242","4132","4011","3889","3771","3664","3568","3481","3398","3315","3229","3145","3059","2977","2891","2808","2735","2662","2588","2519",
"West Bank and Gaza","PSE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","4556","4413","4278","4143","4011","3887","3774","3672","3587","3517","3464","3427","3404","3393","3392","3392","3391","3383","3364","3331","3284","3223","3153","3081","3011","2943","2884","2830","2787","2749","2720","2698","2685","2680","2684","2696","2713","2735","2753","2765","2758","2737",
"Pacific island small states","PSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1679","1642","1605","1571","1542","1515","1492","1475","1448","1425","1403","1387","1373","1364","1361","1358","1358","1354","1348","1343","1323","1308","1287","1268","1245","1224","1203","1182",
"Post-demographic dividend","PST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112083","107299","102285","97064","92214","87570","83101","78989","75547","72761","70008","67970","66326","65007","64170","62982","61954","60576","59326","57925","56063","54646","53114","51851","50740","50014","49143","48407",
"French Polynesia","PYF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","196","196","197","199","202","206","212","219","227","235","243","249","253","253","250","244","236","225","212","200","187","175","163","153","145","138","134","130","128","126","125","125","125","125","126","128","130","134","139","145","151","157","162","167","170","171","170","169",
"Romania","ROU","Number of infant deaths","SH.DTH.IMRT","","","","","15694","16039","18386","21394","22735","22002","20168","18252","16724","15890","15431","14888","14035","13193","12576","12071","11468","10690","9916","9340","9043","9164","9567","9876","9582","8821","7940","7183","6552","6049","5667","5385","5157","4947","4651","4333","4080","3908","3800","3683","3555","3318","2985","2645","2372","2166","2045","1974","1902","1782","1653","1497","1365","1238",
"Russian Federation","RUS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","57380","55998","54876","53841","52973","52290","51856","51678","51637","51655","51750","51882","51917","51631","50818","49275","46949","44070","41010","38036","35266","32805","30608","28581","26737","25230","24104","23233","22491","21801","21091","20321","19462","18574","17706","16914","16242","15744","15483","15431","15432","15328","15008","14414","13568","12632","11755",
"Rwanda","RWA","Number of infant deaths","SH.DTH.IMRT","19305","19204","19162","19205","19363","19641","20085","20717","21505","22461","23567","24813","26292","28015","29921","31885","33731","35069","35561","35161","34195","32987","31876","31119","30710","30437","30180","29849","29457","29135","29091","29440","30104","31321","35858","33006","31308","32649","33585","32257","32158","30888","29228","27352","25200","23209","21394","19749","18350","17111","15931","14575","13594","12763","12093","11555","11082","10677",
"South Asia","SAS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3357039","3283017","3209686","3137705","3065455","2991913","2916474","2837929","2756526","2673949","2590543","2506711","2424487","2344520","2267621","2189358","2111741","2032334","1950664","1867866","1784467","1702460","1622949","1547273","1476325","1409702","1348058","1292072",
"Saudi Arabia","SAU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","31033","30510","30100","29759","29493","29290","29128","28942","28686","28342","27862","27243","26440","25442","24299","23077","21761","20457","19184","17925","16712","15525","14426","13404","12473","11653","10941","10329","9794","9328","8909","8523","8153","7775","7393","7011","6626","6237","5858","5496","5151","4824","4508","4218","3966",
"Sudan","SDN","Number of infant deaths","SH.DTH.IMRT","36298","36915","37550","38248","39008","39810","40688","41640","42642","43744","44919","46163","47443","48768","50080","51371","52662","53938","55201","56435","57639","58819","59959","61030","62029","62949","63857","64809","65801","66855","67956","69071","70127","71022","71750","72269","72540","72574","72407","71948","71323","70534","69593","68572","67548","66562","65581","64603","63730","62848","62047","61297","60577","59850","59157","58413","57730","57009",
"Senegal","SEN","Number of infant deaths","SH.DTH.IMRT","19963","20491","21069","21682","22322","22960","23597","24222","24818","25353","25814","26165","26405","26519","26496","26333","26059","25754","25470","25250","25117","25051","24992","24871","24656","24299","23829","23362","22983","22766","22764","22976","23353","23858","24428","25013","25553","25983","26246","26304","26097","25642","25026","24344","23665","23032","22467","21972","21537","21148","20772","20409","20010","19576","19142","18707","18312","17950",
"Singapore","SGP","Number of infant deaths","SH.DTH.IMRT","2191","2006","1844","1709","1600","1499","1401","1305","1218","1142","1075","1010","932","828","718","626","557","514","494","486","482","466","448","434","419","407","401","390","373","355","333","304","281","260","237","221","209","195","182","165","153","138","128","119","111","107","107","108","105","106","107","108","108","105","105","106","110","110",
"Solomon Islands","SLB","Number of infant deaths","SH.DTH.IMRT","","575","567","560","552","546","541","538","536","533","530","525","520","512","502","489","475","460","444","430","419","409","401","396","392","389","388","387","387","386","385","383","379","375","371","368","366","364","364","365","366","369","373","377","382","385","387","386","383","377","369","360","350","340","330","320","311","302",
"Sierra Leone","SLE","Number of infant deaths","SH.DTH.IMRT","","23154","23278","23401","23513","23595","23660","23733","23810","23891","23972","24101","24241","24362","24493","24632","24813","25020","25271","25526","25827","26171","26556","26979","27406","27831","28249","28643","29006","29335","29603","29807","29916","29935","29863","29724","29571","29429","29333","29313","29397","29543","29723","29885","29984","29984","29798","29424","28846","28060","27164","26153","25143","24156","23211","22349","21597","20935",
"El Salvador","SLV","Number of infant deaths","SH.DTH.IMRT","15877","15959","16018","16084","16126","16150","16153","16141","16121","16094","16063","16033","15959","15836","15665","15434","15118","14722","14249","13709","13100","12439","11743","11056","10394","9779","9222","8730","8288","7891","7519","7173","6831","6488","6136","5781","5412","5046","4682","4334","4003","3695","3414","3158","2930","2729","2550","2394","2253","2125","2008","1900","1807","1724","1646","1577","1516","1460",
"San Marino","SMR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","3","3","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"Somalia","SOM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","33721","34526","35235","35897","36467","36884","37146","37413","37828","38534","39417","40322","41227","42121","43001","43869","44738","45629","46562","47551","48604","49701","50689","51337","51583","51667","51521","51167","50913","50572","50325","50105","49887","49554",
"Serbia","SRB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","5182","4984","4728","4339","3888","3483","3160","2907","2688","2468","2202","1923","1675","1497","1385","1296","1217","1130","1017","909","815","753","712","684","666","642","620","591","572","544","517","490","463",
"Sub-Saharan Africa (excluding high income)","SSA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2362168","2392921","2424353","2456268","2489946","2512951","2532321","2547648","2553968","2549850","2537753","2516070","2487358","2453534","2415998","2376396","2338308","2297763","2257206","2216817","2177745","2138133","2098838","2062214","2028113","1994645","1962384","1931855",
"South Sudan","SSD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","37953","38470","39028","39568","40132","40568","40748","40668","40340","39788","39013","38068","37019","35969","34937","33989","33216","32524","31810","31128","30491","29854","29319","28812","28341","27874","27461","27040","26615","26146","25672","25294","25173","25401","25865","26408","26928","27424",
"Sub-Saharan Africa","SSF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2362192","2392944","2424375","2456289","2489966","2512970","2532340","2547666","2553986","2549868","2537771","2516088","2487377","2453553","2416018","2376416","2338328","2297784","2257227","2216838","2177766","2138154","2098859","2062234","2028133","1994665","1962403","1931873",
"Small states","SST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42774","42487","42284","42147","42046","41944","41788","41564","41237","40818","40319","39798","39269","38754","38181","37388","36557","36012","35686","35098","34262","33802","33266","32671","32153","31515","30768","30117",
"Sao Tome and Principe","STP","Number of infant deaths","SH.DTH.IMRT","","","","","","","180","175","170","169","169","171","175","180","186","192","198","204","210","217","223","231","239","247","257","267","276","285","295","303","311","319","325","330","333","334","332","328","322","315","306","296","286","275","265","255","246","237","228","220","212","205","198","191","186","180","175","171",
"Suriname","SUR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","504","496","488","480","471","463","454","446","436","424","412","399","385","371","357","344","330","318","305","293","282","271","260","251","242","233","225","218","210","203","196","190","183","177",
"Slovak Republic","SVK","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","1709","1604","1509","1417","1327","1247","1168","1091","1020","949","877","812","746","682","622","566","520","480","446","417","399","384","373","363","354","350","341","336","329","321","312","303","293","283","273","263",
"Slovenia","SVN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","422","392","362","335","306","279","252","225","202","180","161","145","131","119","109","100","93","87","80","77","72","69","67","66","63","61","60","58","55","52","50","47","43","41","39","35",
"Sweden","SWE","Number of infant deaths","SH.DTH.IMRT","1768","1757","1728","1688","1635","1576","1511","1458","1410","1357","1298","1235","1158","1069","991","904","839","784","734","696","664","646","633","626","631","640","651","664","676","686","681","649","607","549","486","431","386","353","332","316","313","314","312","312","304","304","294","291","288","283","277","280","283","276","279","282","286","279",
"Eswatini","SWZ","Number of infant deaths","SH.DTH.IMRT","2282","2317","2350","2381","2407","2431","2457","2482","2511","2544","2565","2582","2583","2567","2538","2501","2464","2429","2401","2371","2336","2296","2246","2188","2123","2057","1994","1937","1894","1867","1859","1878","1926","2010","2122","2249","2375","2487","2588","2674","2741","2800","2842","2869","2857","2828","2595","2552","2521","2382","2251","2112","1933","1844","1771","1626","1581","1573",
"Sint Maarten (Dutch part)","SXM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Number of infant deaths","SH.DTH.IMRT","114","115","115","116","115","114","112","110","106","103","99","94","90","84","79","73","67","62","56","51","47","42","39","36","33","31","29","28","26","25","24","23","22","21","20","19","19","18","18","18","18","18","19","19","20","20","20","21","21","21","21","21","21","20","20","20","19","18",
"Syrian Arab Republic","SYR","Number of infant deaths","SH.DTH.IMRT","25036","24548","24081","23631","23207","22804","22426","22075","21750","21445","21164","20898","20667","20450","20218","19973","19714","19437","19127","18793","18419","18002","17563","17109","16640","16153","15651","15123","14588","14048","13519","13030","12584","12187","11841","11537","11253","10971","10675","10358","10032","9707","9377","9073","8793","8516","8229","7929","7630","7383","7197","7046","6977","6699","6406","6089","5865","5616",
"Turks and Caicos Islands","TCA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","23155","23737","24305","24863","25378","25901","26398","26881","27360","27838","28328","28854","29416","30033","30689","31392","32129","32905","33708","34554","35439","36333","37280","38228","39151","40030","40890","41694","42484","43241","43925","44569","45120","45572","45893","46113","46256","46296","46293","46293","46291","46258","46145","46000","45862",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1729512","1648324","1551205","1447489","1346082","1251911","1170000","1098467","1035629","979705","928648","881135","835415","791772","756089","711139","675034","641583","615694","582943","555726","529840","504859","480498","457269","434758","413392","393179",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272202","261256","251080","240796","229801","218053","205996","193862","181936","170560","160055","150557","142202","134784","128355","122667","117614","113047","108850","104923","101185","97391","93404","89121","84501","79627","74726","70057",
"Togo","TGO","Number of infant deaths","SH.DTH.IMRT","11500","11502","11532","11604","11699","11834","11992","12176","12372","12565","12748","12925","13074","13185","13268","13326","13358","13381","13397","13421","13462","13515","13588","13669","13757","13847","13926","13991","14033","14061","14071","14070","14073","14084","14099","14126","14173","14243","14323","14413","14500","14576","14636","14671","14681","14649","14589","14493","14374","14232","14070","13897","13709","13513","13316","13115","12905","12696",
"Thailand","THA","Number of infant deaths","SH.DTH.IMRT","115458","114974","114327","113565","112665","111434","109816","107692","105019","101767","98027","93990","89712","85354","81089","76985","73023","69218","65568","62059","58646","55406","52310","49354","46541","43876","41374","39005","36772","34667","32684","30800","28977","27230","25572","23980","22447","20992","19607","18309","17092","15968","14939","13996","13134","12350","11616","10942","10304","9697","9117","8569","8041","7527","7029","6562","6126","5736",
"Tajikistan","TJK","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","14714","14530","14379","14318","14393","14611","14982","15454","16019","16627","17149","17524","17691","17645","17422","17171","17094","17255","17607","18084","18461","18457","17986","17219","16308","15303","14237","13168","12156","11241","10467","9847","9360","9012","8761","8578","8448","8338","8246","8143","8042","7922","7764","7575","7376",
