"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Barbados","BRB","Number of infant deaths","SH.DTH.IMRT","490","451","417","384","352","323","296","273","252","232","216","201","186","173","161","149","138","129","120","113","106","101","96","92","89","85","82","78","74","70","67","63","60","57","55","53","52","52","51","51","52","52","52","52","52","51","50","49","48","48","47","45","45","44","42","41","40","39",
"Brunei Darussalam","BRN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","75","75","74","74","75","75","77","78","79","81","81","80","79","77","75","73","70","69","67","66","64","62","61","59","58","57","57","57","58","59","59","60","60","60","60",
"Bhutan","BTN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","2531","2523","2512","2497","2480","2459","2434","2409","2377","2341","2300","2262","2226","2197","2170","2140","2100","2045","1976","1893","1800","1697","1593","1489","1391","1298","1213","1134","1060","991","928","871","819","771","727","686","648","612","577","543","511","482","457","435","416","399","383","369",
"Botswana","BWA","Number of infant deaths","SH.DTH.IMRT","2782","2767","2751","2732","2718","2708","2699","2689","2679","2666","2652","2633","2614","2592","2565","2534","2501","2467","2428","2387","2340","2283","2221","2147","2070","1991","1917","1857","1818","1806","1824","1871","1941","2015","2093","2172","2247","2310","2358","2385","2366","2327","2280","2228","2170","2009","1959","2011","2026","1999","1938","1993","1907","1824","1817","1755","1709","1629",
"Central African Republic","CAF","Number of infant deaths","SH.DTH.IMRT","10477","10518","10556","10579","10592","10588","10568","10538","10505","10474","10448","10429","10417","10423","10445","10490","10561","10664","10793","10952","11142","11360","11597","11856","12123","12381","12635","12884","13135","13387","13635","13882","14143","14428","14739","15070","15391","15709","15993","16268","16506","16708","16882","17026","17135","17204","17197","17190","17105","16935","16725","16427","16116","15817","15384","14977","14572","14328",
"Canada","CAN","Number of infant deaths","SH.DTH.IMRT","13073","12656","12120","11472","10739","9960","9183","8445","7775","7182","6666","6225","5845","5510","5206","4925","4662","4412","4173","3944","3728","3528","3349","3197","3070","2969","2887","2819","2758","2697","2629","2552","2468","2374","2272","2163","2055","1955","1870","1805","1763","1743","1741","1753","1772","1794","1814","1829","1839","1844","1844","1841","1834","1826","1814","1798","1777","1749",
"Central Europe and the Baltics","CEB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24655","23096","21570","20025","18438","16900","15452","14083","12784","11679","10830","10195","9744","9384","9054","8679","8186","7687","7234","6802","6468","6138","5867","5543","5220","4912","4627","4348",
"Switzerland","CHE","Number of infant deaths","SH.DTH.IMRT","2086","2111","2121","2100","2048","1978","1896","1805","1710","1609","1501","1385","1265","1144","1027","920","825","748","687","642","608","584","568","557","551","547","546","546","545","541","532","516","496","473","449","428","410","395","382","370","360","349","340","330","323","317","313","310","310","310","312","314","317","320","324","326","327","326",
"Channel Islands","CHI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Number of infant deaths","SH.DTH.IMRT","35501","34013","32944","31817","30095","27619","24991","22667","20831","19574","18788","18243","17765","17080","15929","14301","12484","10711","9183","8058","7284","6660","6091","5612","5333","5279","5309","5299","5197","4999","4681","4346","3975","3625","3325","3074","2897","2792","2688","2565","2403","2248","2122","2044","1992","1965","1939","1934","1927","1898","1845","1771","1739","1708","1659","1611","1565","1499",
"China","CHN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","2329803","2179702","2019374","1850700","1681464","1517650","1367850","1238138","1134421","1053724","998822","969834","966576","982536","1012927","1051290","1090469","1119390","1131371","1121619","1087114","1030543","957946","878242","799963","728006","666653","613997","567938","527096","489751","455064","421633","389724","359803","332027","307282","285136","265796","248480","232087","216520","201276","186295","171935","157915","144606","132726",
"Cote d'Ivoire","CIV","Number of infant deaths","SH.DTH.IMRT","40277","40416","40566","40758","40992","41272","41569","41906","42289","42707","43109","43488","43797","44023","44180","44191","44136","44043","44050","44206","44461","44817","45297","45926","46672","47536","48543","49679","50961","52337","53787","55317","56931","58600","60248","61804","63145","64189","64895","65226","65241","64992","64548","63977","63232","62357","61658","60788","59868","59277","58865","58565","58087","57676","57374","57024","56506","55962",
"Cameroon","CMR","Number of infant deaths","SH.DTH.IMRT","35112","35303","35630","36094","36493","36718","36772","36623","36255","35843","35504","35306","35364","35731","36379","37281","38336","39406","40397","41205","41841","42225","42400","42356","42184","41963","41810","41851","42198","42913","43959","45305","46845","48454","50073","51614","53044","54313","55332","56041","56459","56610","56606","56547","56437","56356","56058","55730","55030","54411","53237","52323","51303","50167","49377","48247","47497","46722",
"Congo, Dem. Rep.","COD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","133191","135338","137520","139607","141663","143901","146083","148264","150332","152621","154881","157140","159374","161884","164540","167342","170514","173964","177730","181884","186281","190932","195819","200842","205836","210623","215092","218930","222139","224949","227221","228988","230596","231998","233294","234575","235791","236917","237921","238778","239389","239525","239359","238909","237676","236562","235170","233095",
"Congo, Rep.","COG","Number of infant deaths","SH.DTH.IMRT","4689","4729","4772","4815","4852","4883","4906","4933","4962","5000","5036","5076","5105","5151","5185","5212","5233","5247","5250","5246","5221","5197","5169","5126","5088","5060","5048","5076","5131","5239","5395","5606","5866","6184","6557","6983","7439","7912","8353","8712","8952","9061","9037","8888","8653","8359","8054","7756","7495","7285","7120","6977","6841","6706","6578","6440","6298","6168",
"Colombia","COL","Number of infant deaths","SH.DTH.IMRT","67872","67523","67178","66805","66338","65744","64815","63494","61813","59748","57479","55142","52894","50751","48783","47006","45344","43752","42112","40467","38776","37088","35439","33838","32345","30966","29728","28644","27685","26842","26058","25270","24444","23573","22675","21754","20848","19993","19224","18534","17909","17346","16813","16296","15771","15225","14670","14112","13563","13018","12487","11982","11486","11006","10553","10106","9688","9297",
"Comoros","COM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","1514","1515","1521","1529","1540","1552","1564","1578","1590","1601","1608","1612","1611","1606","1596","1582","1567","1548","1528","1506","1483","1461","1440","1424","1414","1410","1412","1419","1432","1448","1468","1493","1515","1529","1534","1533","1528","1520","1510","1496","1479","1466","1447","1426","1405","1382","1359",
"Cabo Verde","CPV","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","1249","1165","1087","1014","949","892","846","809","783","767","760","761","767","773","776","771","756","734","709","683","662","647","637","627","615","593","559","516","466","415","370","333","305","286","274","268","265","262","258","252","245","235","225","213","201","190","179","169",
"Costa Rica","CRI","Number of infant deaths","SH.DTH.IMRT","","","","","","","4183","4020","3913","3843","3704","3435","3098","2794","2553","2317","2052","1794","1587","1453","1383","1376","1414","1463","1503","1506","1458","1370","1282","1223","1174","1136","1103","1074","1044","1026","1026","1017","984","923","849","790","748","708","678","657","650","650","650","637","623","615","606","596","581","572","557","541",
"Caribbean small states","CSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4394","4241","4094","3956","3822","3695","3569","3450","3332","3218","3110","3009","2919","2837","2767","2707","2651","2598","2546","2488","2429","2364","2299","2232","2163","2093","2020","1948",
"Cuba","CUB","Number of infant deaths","SH.DTH.IMRT","","","","","10804","10708","10653","10626","10526","10237","9627","8678","7554","6527","5780","5155","4498","3791","3214","2855","2677","2622","2611","2626","2626","2582","2481","2361","2192","2035","1864","1715","1578","1473","1399","1344","1280","1184","1078","987","920","865","833","813","773","726","683","645","620","598","579","570","561","551","549","536","521","506",
"Curacao","CUW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","254","240","224","208","192","176","164","156","150","147","145","141","136","129","121","113","104","95","86","79","72","66","61","56","53","49","47","44","42","40","38","36","34","33","31","30","28","27",
"Czech Republic","CZE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","1967","1830","1730","1656","1587","1513","1441","1380","1319","1238","1133","1010","881","756","645","553","482","431","397","378","370","366","364","359","352","343","332","319","306","294","283","276","274","275","278","283",
"Germany","DEU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","26315","24061","21954","19833","17967","16247","14764","13487","12482","11595","10840","10189","9625","9071","8660","8241","7804","7476","7045","6654","6240","5813","5386","5039","4709","4401","4174","3957","3744","3590","3431","3328","3158","3049","2942","2841","2691","2608","2535","2470","2414","2364","2322","2284","2308","2276","2303","2269","2234",
"Djibouti","DJI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","1416","1472","1523","1573","1622","1669","1713","1757","1800","1844","1888","1931","1971","2004","2027","2039","2036","2019","1990","1949","1905","1860","1818","1779","1743","1704","1664","1617","1569","1516","1465","1416","1373","1333","1297","1264","1232","1200","1169","1138","1107",
"Dominica","DMA","Number of infant deaths","SH.DTH.IMRT","","176","161","149","140","132","126","121","114","107","97","86","75","63","53","44","37","32","29","26","24","23","23","23","22","22","22","22","21","21","21","21","21","21","20","20","19","18","17","16","16","15","14","14","14","14","15","15","17","18","19","21","24","26","29","31","33","35",
"Denmark","DNK","Number of infant deaths","SH.DTH.IMRT","1658","1636","1610","1565","1506","1434","1350","1269","1200","1124","1061","991","916","835","767","701","641","593","545","510","477","448","432","425","423","430","437","448","457","457","451","438","422","402","380","361","345","333","321","308","301","293","287","281","270","259","248","242","230","222","213","210","207","205","210","210","217","220",
"Dominican Republic","DOM","Number of infant deaths","SH.DTH.IMRT","16992","17157","17249","17259","17202","17085","16927","16733","16513","16273","16006","15696","15345","14962","14558","14148","13762","13401","13081","12797","12525","12266","12010","11756","11498","11233","10965","10693","10419","10141","9851","9554","9246","8924","8600","8279","7980","7708","7469","7266","7101","6968","6852","6753","6668","6584","6508","6433","6355","6280","6198","6120","6028","5921","5793","5644","5488","5321",
"Algeria","DZA","Number of infant deaths","SH.DTH.IMRT","77953","79923","81928","83949","86016","88053","90015","91870","93554","94968","95985","96724","97122","97073","96520","95543","94132","92329","89992","87084","83261","78263","71991","64711","57266","50548","45159","41204","38356","36353","34809","33434","31999","30438","28714","26971","25309","23812","22524","21503","20740","20172","19775","19531","19438","19483","19645","19897","20174","20444","20669","20844","20950","20928","20727","20332","19751","19026",
"East Asia & Pacific (excluding high income)","EAP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1743381","1663863","1568730","1467069","1367618","1274924","1193732","1121964","1058072","1000320","946956","896974","849036","803662","766759","721083","684653","650937","624736","591596","563846","537354","511758","486868","463189","440337","418668","398221",
"Early-demographic dividend","EAR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4984752","4862937","4742534","4624789","4510520","4388225","4266632","4145968","4024612","3900124","3777388","3654608","3533976","3416006","3306976","3188487","3077501","2965138","2858301","2740505","2637732","2524794","2422246","2322665","2228162","2139521","2054969","1976985",
"East Asia & Pacific","EAS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1760964","1680524","1584561","1482088","1381803","1288258","1206206","1133587","1068885","1010385","956354","905779","857329","811515","774224","728214","691482","657494","631047","597676","569706","543089","517209","492127","468267","445308","423418","402819",
"Europe & Central Asia (excluding high income)","ECA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","262935","252510","242843","233099","222722","211651","200319","188935","177669","166790","156631","147400","139235","131938","125605","119956","114965","110462","106344","102545","98920","95288","91402","87227","82713","77911","73082","68483",
"Europe & Central Asia","ECS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","311699","298532","286133","273447","260168","246397","232560","219014","205943","193590","182222","171971","162985","155030","148109","141833","136351","131439","126777","122366","118111","113843","109392","104739","99773","94764","89604","84692",
"Ecuador","ECU","Number of infant deaths","SH.DTH.IMRT","23410","23310","23235","23184","23165","23185","23215","23265","23332","23366","23338","23199","22925","22513","21961","21327","20679","20066","19470","18896","18319","17722","17106","16487","15874","15302","14770","14284","13815","13364","12904","12427","11930","11411","10868","10299","9723","9140","8582","8072","7618","7221","6887","6597","6349","6132","5931","5724","5520","5311","5107","4908","4721","4554","4407","4285","4191","4118",
"Egypt, Arab Rep.","EGY","Number of infant deaths","SH.DTH.IMRT","257206","252441","247585","242993","238946","235737","233303","231835","231017","230656","230479","229891","228505","225996","222264","217772","212707","207275","201862","196595","191647","186452","180621","173942","166250","157966","149562","141507","133841","126867","120093","113356","106503","99667","93000","86670","80969","76011","71744","68213","65283","62802","60670","58857","57237","55902","54949","54322","54123","54194","54405","54437","54229","53592","52474","50924","49073","47021",
"Euro area","EMU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28077","26544","25025","23398","21773","20297","18998","17946","17119","16435","15877","15333","14865","14379","13972","13493","13101","12787","12433","12075","11706","11372","11057","10852","10583","10464","10286","10131",
"Eritrea","ERI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","11300","11365","11469","11601","11762","11933","12110","12296","12460","12586","12657","12650","12546","12328","11996","11564","11032","10418","9779","9137","8542","8028","7605","7267","7018","6848","6746","6687","6654","6625","6592","6542","6465","6360","6245","6110","5966","5815","5655","5504","5375","5237","5115",
"Spain","ESP","Number of infant deaths","SH.DTH.IMRT","24996","23507","22187","20999","19973","19019","18101","17180","16148","14946","13686","12535","11655","11096","10905","10954","10936","10399","9432","8396","7368","6469","5798","5213","4759","4350","3987","3701","3446","3217","3043","2851","2673","2474","2285","2108","1944","1855","1779","1747","1724","1742","1767","1759","1782","1761","1725","1712","1644","1563","1471","1410","1345","1281","1183","1125","1071","1054",
